admin2,hc_cluster_id
KOTA JAMBI,23
KOTA JAYAPURA,25
KOTA KEDIRI,8
KOTA KENDARI,16
KOTA KOTAMOBAGU,26
KOTA KUPANG,6
KOTA LANGSA,22
KOTA LHOKSEUMAWE,22
KOTA LUBUKLINGGAU,21
KOTA MADIUN,5
KOTA MAGELANG,11
KOTA MAKASSAR,18
KOTA MALANG,8
KOTA MANADO,33
KOTA MATARAM,2
KOTA MEDAN,25
KOTA METRO,21
KOTA MOJOKERTO,5
KOTA PADANG,24
KOTA PADANG PANJANG,38
KOTA PADANGSIDIMPUAN,26
KOTA PAGAR ALAM,39
KOTA PALANGKA RAYA,21
KOTA PALEMBANG,21
KOTA PALOPO,25
KOTA PALU,26
KOTA PANGKAL PINANG,34
KOTA PAREPARE,18
KOTA PARIAMAN,24
KOTA PASURUAN,4
KOTA PAYAKUMBUH,38
KOTA PEKALONGAN,20
KOTA PEKANBARU,23
KOTA PEMATANG SIANTAR,26
KOTA PONTIANAK,23
KOTA PRABUMULIH,21
KOTA PROBOLINGGO,2
KOTA SABANG,36
KOTA SALATIGA,9
KOTA SAMARINDA,23
KOTA SAWAH LUNTO,27
KOTA SEMARANG,5
KOTA SERANG,33
KOTA SIBOLGA,26
KOTA SINGKAWANG,23
KOTA SOLOK,38
KOTA SORONG,23
KOTA SUBULUSSALAM,24
KOTA SUKABUMI,10
KOTA SUNGAI PENUH,39
KOTA SURABAYA,3
KOTA SURAKARTA,5
KOTA TANGERANG,20
KOTA TANGERANG SELATAN,20
KOTA TANJUNG BALAI,23
KOTA TANJUNG PINANG,34
KOTA TASIKMALAYA,11
KOTA TEBING TINGGI,23
KOTA TEGAL,20
KOTA TERNATE,35
KOTA TIDORE KEPULAUAN,33
KOTA TOMOHON,26
KOTA TUAL,35
KOTA YOGYAKARTA,8
KOTAWARINGIN BARAT,23
KOTAWARINGIN TIMUR,23
KUANTAN SINGINGI,23
KUBU RAYA,23
KUDUS,5
KULON PROGO,13
KUNINGAN,5
KUPANG,6
KUTAI BARAT,23
KUTAI KARTANEGARA,23
KUTAI TIMUR,23
LABUHAN BATU,23
LABUHAN BATU SELATAN,22
LABUHAN BATU UTARA,23
LAHAT,21
LAMANDAU,30
LAMONGAN,3
LAMPUNG BARAT,38
LAMPUNG SELATAN,21
LAMPUNG TENGAH,21
LAMPUNG TIMUR,21
LAMPUNG UTARA,21
LANDAK,23
LANGKAT,22
LANNY JAYA,45
LEBAK,33
LEBONG,38
LEMBATA,2
LIMA PULUH KOTA,38
LINGGA,34
LOMBOK BARAT,2
LOMBOK TENGAH,2
LOMBOK TIMUR,2
LOMBOK UTARA,14
LUMAJANG,13
LUWU,25
LUWU TIMUR,25
LUWU UTARA,26
MADIUN,5
MAGELANG,11
MAGETAN,5
MAHAKAM HULU,26
MAJALENGKA,5
MAJENE,33
MALAKA,7
MALANG,8
MALINAU,26
MALUKU BARAT DAYA,37
MALUKU TENGAH,25
MALUKU TENGGARA,35
MALUKU TENGGARA BARAT,37
MAMASA,40
MAMBERAMO RAYA,25
MAMBERAMO TENGAH,40
MAMUJU,24
MAMUJU TENGAH,24
MAMUJU UTARA,25
MANDAILING NATAL,26
MANGGARAI,12
MANGGARAI BARAT,14
MANGGARAI TIMUR,12
MANOKWARI,24
MANOKWARI SELATAN,24
MAPPI,28
MAROS,18
MAYBRAT,26
MELAWI,23
MEMPAWAH,23
MERANGIN,25
MERAUKE,17
MESUJI,21
MIMIKA,41
MINAHASA,26
MINAHASA SELATAN,26
MINAHASA TENGGARA,26
MINAHASA UTARA,33
MOJOKERTO,5
MOROWALI,25
MOROWALI UTARA,26
MUARA ENIM,21
MUARO JAMBI,23
MUKOMUKO,24
MUNA,15
MUNA BARAT,15
MURUNG RAYA,25
MUSI BANYUASIN,21
MUSI RAWAS,21
MUSI RAWAS UTARA,23
NABIRE,26
NAGAN RAYA,24
NAGEKEO,14
NATUNA,34
NDUGA,43
NGADA,12
NGANJUK,5
NGAWI,5
NIAS,34
NIAS BARAT,34
NIAS SELATAN,34
NIAS UTARA,34
NUNUKAN,25
OGAN ILIR,21
OGAN KOMERING ILIR,21
OGAN KOMERING ULU,21
OGAN KOMERING ULU SELATAN,27
OGAN KOMERING ULU TIMUR,21
PACITAN,13
PADANG LAWAS,22
PADANG LAWAS UTARA,22
PADANG PARIAMAN,24
PAKPAK BHARAT,39
PAMEKASAN,3
PANDEGLANG,33
PANGANDARAN,13
PANGKAJENE DAN KEPULAUAN,18
PANIAI,45
PARIGI MOUTONG,25
PASAMAN,26
PASAMAN BARAT,24
PASER,23
PASURUAN,4
PATI,3
PEGUNUNGAN ARFAK,43
PEGUNUNGAN BINTANG,43
PEKALONGAN,20
PELALAWAN,23
PEMALANG,20
PENAJAM PASER UTARA,23
PENUKAL ABAB LEMATANG ILIR,21
PESAWARAN,27
PESISIR BARAT,25
PESISIR SELATAN,24
PIDIE,22
PIDIE JAYA,22
PINRANG,18
POHUWATO,31
POLEWALI MANDAR,33
PONOROGO,8
POSO,38
PRINGSEWU,27
PROBOLINGGO,14
PULANG PISAU,21
PULAU MOROTAI,33
PULAU TALIABU,25
PUNCAK,45
PUNCAK JAYA,43
PURBALINGGA,13
PURWAKARTA,20
PURWOREJO,13
RAJA AMPAT,25
REJANG LEBONG,38
REMBANG,3
ROKAN HILIR,23
ROKAN HULU,22
ROTE NDAO,1
SABU RAIJUA,1
SAMBAS,23
SAMOSIR,39
SAMPANG,3
SANGGAU,23
SARMI,25
SAROLANGUN,23
SEKADAU,23
SELUMA,25
SEMARANG,9
SERAM BAGIAN BARAT,25
SERAM BAGIAN TIMUR,25
SERANG,33
SERDANG BEDAGAI,23
SERUYAN,23
SIAK,23
SIAU TAGULANDANG BIARO,35
SIDENRENG RAPPANG,18
SIDOARJO,4
SIGI,26
SIJUNJUNG,27
SIKKA,2
SIMALUNGUN,26
SIMEULUE,34
SINJAI,15
SINTANG,23
SITUBONDO,4
SLEMAN,8
SOLOK,38
SOLOK SELATAN,38
SOPPENG,18
SORONG,25
SORONG SELATAN,23
SRAGEN,5
SUBANG,20
SUKABUMI,11
SUKAMARA,23
SUKOHARJO,5
SUMBA BARAT,14
SUMBA BARAT DAYA,2
SUMBA TENGAH,14
SUMBA TIMUR,14
SUMBAWA,2
SUMBAWA BARAT,2
SUMEDANG,9
SUMENEP,3
SUPIORI,34
TABALONG,21
TABANAN,13
TAKALAR,18
TAMBRAUW,38
TANA TIDUNG,30
TANA TORAJA,39
TANAH BUMBU,23
TANAH DATAR,38
TANAH LAUT,23
TANGERANG,20
TANGGAMUS,27
TANJUNG JABUNG BARAT,23
TANJUNG JABUNG TIMUR,23
TAPANULI SELATAN,26
TAPANULI TENGAH,24
TAPANULI UTARA,39
TAPIN,21
TASIKMALAYA,11
TEBO,23
TEGAL,20
TELUK BINTUNI,23
TELUK WONDAMA,25
TEMANGGUNG,10
TIMOR TENGAH SELATAN,7
TIMOR TENGAH UTARA,7
TOBA SAMOSIR,39
TOJO UNA-UNA,26
TOLI-TOLI,25
TOLIKARA,43
TORAJA UTARA,39
TRENGGALEK,13
TUBAN,3
TULANG BAWANG BARAT,21
TULANGBAWANG,21
TULUNGAGUNG,8
WAJO,17
WAKATOBI,37
WAROPEN,25
WAY KANAN,21
WONOGIRI,8
WONOSOBO,10
YAHUKIMO,43
YALIMO,40
