admin2,admin1
MANGGARAI,NUSA TENGGARA TIMUR
MANGGARAI BARAT,NUSA TENGGARA TIMUR
MANGGARAI TIMUR,NUSA TENGGARA TIMUR
MANOKWARI,PAPUA BARAT
MANOKWARI SELATAN,PAPUA BARAT
MAPPI,PAPUA SELATAN
MAROS,SULAWESI SELATAN
MAYBRAT,PAPUA BARAT DAYA
MELAWI,KALIMANTAN BARAT
MEMPAWAH,KALIMANTAN BARAT
MERANGIN,JAMBI
MERAUKE,PAPUA SELATAN
MESUJI,LAMPUNG
MIMIKA,PAPUA TENGAH
MINAHASA,SULAWESI UTARA
MINAHASA SELATAN,SULAWESI UTARA
MINAHASA TENGGARA,SULAWESI UTARA
MINAHASA UTARA,SULAWESI UTARA
MOJOKERTO,JAWA TIMUR
MOROWALI,SULAWESI TENGAH
MOROWALI UTARA,SULAWESI TENGAH
MUARA ENIM,SUMATRA SELATAN
MUARO JAMBI,JAMBI
MUKOMUKO,BENGKULU
MUNA,SULAWESI TENGGARA
MUNA BARAT,SULAWESI TENGGARA
MURUNG RAYA,KALIMANTAN TENGAH
MUSI BANYUASIN,SUMATRA SELATAN
MUSI RAWAS,SUMATRA SELATAN
MUSI RAWAS UTARA,SUMATRA SELATAN
NABIRE,PAPUA TENGAH
NAGAN RAYA,ACEH
NAGEKEO,NUSA TENGGARA TIMUR
NATUNA,KEPULAUAN RIAU
NDUGA,PAPUA PEGUNUNGAN
NGADA,NUSA TENGGARA TIMUR
NGANJUK,JAWA TIMUR
NGAWI,JAWA TIMUR
NIAS,SUMATRA UTARA
NIAS BARAT,SUMATRA UTARA
NIAS SELATAN,SUMATRA UTARA
NIAS UTARA,SUMATRA UTARA
NUNUKAN,KALIMANTAN UTARA
OGAN ILIR,SUMATRA SELATAN
OGAN KOMERING ILIR,SUMATRA SELATAN
OGAN KOMERING ULU,SUMATRA SELATAN
OGAN KOMERING ULU SELATAN,SUMATRA SELATAN
OGAN KOMERING ULU TIMUR,SUMATRA SELATAN
PACITAN,JAWA TIMUR
PADANG LAWAS,SUMATRA UTARA
PADANG LAWAS UTARA,SUMATRA UTARA
PADANG PARIAMAN,SUMATRA BARAT
PAKPAK BHARAT,SUMATRA UTARA
PAMEKASAN,JAWA TIMUR
PANDEGLANG,BANTEN
PANGANDARAN,JAWA BARAT
PANGKAJENE DAN KEPULAUAN,SULAWESI SELATAN
PANIAI,PAPUA TENGAH
PARIGI MOUTONG,SULAWESI TENGAH
PASAMAN,SUMATRA BARAT
PASAMAN BARAT,SUMATRA BARAT
PASER,KALIMANTAN TIMUR
PASURUAN,JAWA TIMUR
PATI,JAWA TENGAH
PEGUNUNGAN ARFAK,PAPUA BARAT
PEGUNUNGAN BINTANG,PAPUA PEGUNUNGAN
PEKALONGAN,JAWA TENGAH
PELALAWAN,RIAU
PEMALANG,JAWA TENGAH
PENAJAM PASER UTARA,KALIMANTAN TIMUR
PENUKAL ABAB LEMATANG ILIR,SUMATRA SELATAN
PESAWARAN,LAMPUNG
PESISIR BARAT,LAMPUNG
PESISIR SELATAN,SUMATRA BARAT
PIDIE,ACEH
PIDIE JAYA,ACEH
PINRANG,SULAWESI SELATAN
POHUWATO,GORONTALO
POLEWALI MANDAR,SULAWESI BARAT
PONOROGO,JAWA TIMUR
POSO,SULAWESI TENGAH
PRINGSEWU,LAMPUNG
PROBOLINGGO,JAWA TIMUR
PULANG PISAU,KALIMANTAN TENGAH
PULAU MOROTAI,MALUKU UTARA
PULAU TALIABU,MALUKU UTARA
PUNCAK,PAPUA TENGAH
PUNCAK JAYA,PAPUA TENGAH
PURBALINGGA,JAWA TENGAH
PURWAKARTA,JAWA BARAT
PURWOREJO,JAWA TENGAH
RAJA AMPAT,PAPUA BARAT DAYA
REJANG LEBONG,BENGKULU
REMBANG,JAWA TENGAH
ROKAN HILIR,RIAU
ROKAN HULU,RIAU
ROTE NDAO,NUSA TENGGARA TIMUR
SABU RAIJUA,NUSA TENGGARA TIMUR
SAMBAS,KALIMANTAN BARAT
SAMOSIR,SUMATRA UTARA
SAMPANG,JAWA TIMUR
SANGGAU,KALIMANTAN BARAT
SARMI,PAPUA
SAROLANGUN,JAMBI
SEKADAU,KALIMANTAN BARAT
SELUMA,BENGKULU
SEMARANG,JAWA TENGAH
SERAM BAGIAN BARAT,MALUKU
SERAM BAGIAN TIMUR,MALUKU
SERANG,BANTEN
SERDANG BEDAGAI,SUMATRA UTARA
SERUYAN,KALIMANTAN TENGAH
SIAK,RIAU
SIAU TAGULANDANG BIARO,SULAWESI UTARA
SIDENRENG RAPPANG,SULAWESI SELATAN
SIDOARJO,JAWA TIMUR
SIGI,SULAWESI TENGAH
SIJUNJUNG,SUMATRA BARAT
SIKKA,NUSA TENGGARA TIMUR
SIMALUNGUN,SUMATRA UTARA
SIMEULUE,ACEH
SINJAI,SULAWESI SELATAN
SINTANG,KALIMANTAN BARAT
SITUBONDO,JAWA TIMUR
SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
SOLOK,SUMATRA BARAT
SOLOK SELATAN,SUMATRA BARAT
SOPPENG,SULAWESI SELATAN
SORONG,PAPUA BARAT DAYA
SORONG SELATAN,PAPUA BARAT DAYA
SRAGEN,JAWA TENGAH
SUBANG,JAWA BARAT
SUKABUMI,JAWA BARAT
SUKAMARA,KALIMANTAN TENGAH
SUKOHARJO,JAWA TENGAH
SUMBA BARAT,NUSA TENGGARA TIMUR
SUMBA BARAT DAYA,NUSA TENGGARA TIMUR
SUMBA TENGAH,NUSA TENGGARA TIMUR
SUMBA TIMUR,NUSA TENGGARA TIMUR
SUMBAWA,NUSA TENGGARA BARAT
SUMBAWA BARAT,NUSA TENGGARA BARAT
SUMEDANG,JAWA BARAT
SUMENEP,JAWA TIMUR
SUPIORI,PAPUA
TABALONG,KALIMANTAN SELATAN
TABANAN,BALI
TAKALAR,SULAWESI SELATAN
TAMBRAUW,PAPUA BARAT DAYA
TANA TIDUNG,KALIMANTAN UTARA
TANA TORAJA,SULAWESI SELATAN
TANAH BUMBU,KALIMANTAN SELATAN
TANAH DATAR,SUMATRA BARAT
TANAH LAUT,KALIMANTAN SELATAN
TANGERANG,BANTEN
TANGGAMUS,LAMPUNG
TANJUNG JABUNG BARAT,JAMBI
TANJUNG JABUNG TIMUR,JAMBI
TAPANULI SELATAN,SUMATRA UTARA
TAPANULI TENGAH,SUMATRA UTARA
TAPANULI UTARA,SUMATRA UTARA
TAPIN,KALIMANTAN SELATAN
TASIKMALAYA,JAWA BARAT
TEBO,JAMBI
TEGAL,JAWA TENGAH
TELUK BINTUNI,PAPUA BARAT
TELUK WONDAMA,PAPUA BARAT
TEMANGGUNG,JAWA TENGAH
TIMOR TENGAH SELATAN,NUSA TENGGARA TIMUR
TIMOR TENGAH UTARA,NUSA TENGGARA TIMUR
TOBA SAMOSIR,SUMATRA UTARA
TOJO UNA-UNA,SULAWESI TENGAH
TOLI-TOLI,SULAWESI TENGAH
TOLIKARA,PAPUA PEGUNUNGAN
TORAJA UTARA,SULAWESI SELATAN
TRENGGALEK,JAWA TIMUR
TUBAN,JAWA TIMUR
TULANG BAWANG BARAT,LAMPUNG
TULANGBAWANG,LAMPUNG
TULUNGAGUNG,JAWA TIMUR
WAJO,SULAWESI SELATAN
WAKATOBI,SULAWESI TENGGARA
WAROPEN,PAPUA
WAY KANAN,LAMPUNG
WONOGIRI,JAWA TENGAH
WONOSOBO,JAWA TENGAH
YAHUKIMO,PAPUA PEGUNUNGAN
YALIMO,PAPUA PEGUNUNGAN
